,Compoundid,phytochemical
1067,[],"pentacosanoic acid-2', 3'-dihydroxypropyl ester"
1068,[],syringaresinol-O-D-glucopyranoside
1069,[Compound(71448941)],clematichinenoside A
1070,[Compound(49799272)],clematichinenoside B
1071,[],clematochinenosides A
1072,[],clematochinenosides B
1073,[],clematochinenosides C
1074,[],clematochinenosides D
1075,[],clematochinenosides E
1076,[],clematochinenosides F
1077,[],clematochinenosides G
1078,[Compound(73299)],hederagenin
1079,[Compound(10494)],oleanolic acid
1080,[],5-hydroxumethyl-5H-furan-2-one
1081,[Compound(10496)],anemonin
1082,[Compound(222284)],beta-sitosterol
1083,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
1084,[Compound(91472)],friedelin
1085,[Compound(160521)],isolariciresinol
1086,[Compound(8141)],n-nonane
1087,[Compound(985)],palmitic acid
1088,[Compound(8468)],vanillic acid
1089,[],clematomandshurica saponin E
1090,[],clematomandshurica saponins A
1091,[],clematomandshurica saponins B
1092,[],clematomandshurica saponins C
1093,[],clematomandshurica saponins D
1094,[],mandshunoside A
1095,[],mandshunoside B
1096,"[Compound(443023), Compound(332426)]",(-) syringaresinol
1097,[],(-)episyringaresinol
1098,[],"(+) lariciresinol-4, 4'-O-bis-beta-D-glucopyranoside"
1099,[],(+) lariciresinol-4'-O-beta-D-glucopyranoside
1100,[],(+) lariciresinol-4-O-beta-D-glucopyranoside
1101,[],(+) medioresinol-4'-O-beta-D-glucopyranoside
1102,[],(+) pinoresionol
1103,[],"(+) pinoresionol4, 4'-O-bis-beta-D-glucopyranoside"
1104,[],(+) pinoresionol-4'-O-p-D-glucopyranoside
1105,[],(+) syringaresinol-4'-O-beta-D-glucopyranoside
1106,[],alkanoids
1107,[Compound(5318597)],isomangiferin
1108,[Compound(5281647)],mangiferin
1109,[],Alkaloids
1110,[Compound(10735190)],14-deoxycoleon U
1111,[Compound(73170)],alpha-amyrin
1112,[Compound(65575)],alpha-cedrol
1113,[Compound(222284)],beta-sitosterol
1114,"[Compound(64971), Compound(2371)]",betulic acid
1115,[Compound(10403490)],demethylcryptojaponol
1116,[],comastomasides A
1117,[],comastomasides B
1118,[],comastomasides C
1119,[],comastomasides D
1120,[],comastomasides E
1121,[],"1 -hydroxy-3,7-dimethoxyxanthone"
1122,[Compound(5281658)],"1,2,6,8-tetrahydroxyxanthone"
1123,[],"1,3,7-trihydroxy4- methoxyxanthone"
1124,[],"1,6,8-trihydroxy-2-methoxyxanthone"
1125,[Compound(5281653)],"1,8-dihydroxy-2,6-dimethoxyxanthone"
1126,[Compound(5281660)],"1,8-dihydroxy-3,5-dimethoxyxanthone"
1127,[Compound(5378285)],"1-hydroxy-3,5,8-trimethoxyxanthone"
1128,[],"6,8-dihydroxy-1, 2-dimethoxyxanthone"
1129,[Compound(5378284)],"8-hydroxy-1,2,6-trimethoxyxanthone"
1130,"[Compound(441706), Compound(494226), Compound(72710660), Compound(25083009), Compound(133562510)]",ajaconine
1131,[Compound(101712484)],consolidine
1132,"[Compound(441727), Compound(92118), Compound(60207520), Compound(44655937), Compound(71454486), Compound(131674018), Compound(6713964), Compound(20054884), Compound(122361592), Compound(15558869), Compound(73759683), Compound(76323993), Compound(137705073)]",delsoline
1133,[Compound(181763)],gigactonine
1134,[Compound(101712483)],pubescenine
1135,[Compound(101006108)],14-demethyltuguaconitine
1136,[Compound(102271635)],18-demethylpubescenine
1137,"[Compound(441725), Compound(120726), Compound(57525180), Compound(15558846), Compound(23641115), Compound(49767005), Compound(54607994), Compound(145925533)]",delcosine
1138,[Compound(181763)],gigactonine
1139,"[Compound(14337192), Compound(100981290)]",takaosamine
1140,[],willipelletierine
1141,[Compound(5282102)],astragalin
1142,[],"beta-caryophyllene-4,5-alpha-oxide"
1143,[Compound(101761)],erythrodiol
1144,"[Compound(5280804), Compound(5378597), Compound(10813969), Compound(51402807), Compound(12304323), Compound(45933929)]",isoquercitrin
1145,[],isorhamnetin 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside
1146,[],kaempferol 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside
1147,[Compound(5481663)],narcissin
1148,[Compound(5318767)],nicotiflorin
1149,[],quercetin 3-O-(6' '-O-E-caffeoyl)-beta-D-glucopyranoside
1150,[Compound(5280805)],rutin
1151,[Compound(53972654)],"1-(3'-methoxypropanoyl)-2,4,5-trimethoxybenzene"
1152,[],"2-(2Z)-(3-hydroxy-3,7-dimethylocta-2, 6-dienyl)-1,4-benzenediol"
1153,[Compound(10449074)],cordiaquinone A
1154,[],cordiaquinone B
1155,[Compound(11695518)],cordiaquinone J
1156,[Compound(10663620)],cordiaquinone K
1157,[],cordiaquinones J
1158,[],cordiaquinones K
1159,[Compound(44448148)],cordiachrome A
1160,[Compound(24761029)],cordiachrome B
1161,[Compound(44448135)],cordiachrome C
1162,[],cordiaquinol C
1163,[Compound(44140144)],globiferin
1164,[],cordiaquinone B
1165,[Compound(7462)],alpha-terpinene
1166,[Compound(17868)],alpha-thujene
1167,[Compound(31253)],beta-myrcene
1168,[Compound(10364)],carvacrol
1169,[Compound(7461)],gamma-terpinene
1170,[Compound(7463)],p-cymene
1171,[Compound(6989)],thymol
1172,[],13-methyl-columbamine
1173,[],13-methyl-palmatrubine
1174,[Compound(5245667)],8-oxocoptisine
1175,[Compound(72310)],columbamine
1176,[Compound(72322)],coptisine
1177,[Compound(101301)],corydaline
1178,[Compound(5316439)],dehydrocorybulbine
1179,[Compound(34781)],dehydrocorydaline
1180,[Compound(16754)],glaucine
1181,[],herberine
1182,[],noroxyhydrastine
1183,[Compound(97662)],oxoglaucine
1184,[Compound(19009)],palmatine
1185,[Compound(4970)],protopine
1186,[Compound(10358881)],stepharanine
1187,[Compound(34458)],tetrahydroberberine
1188,[Compound(440229)],tetrahydrocolumbamine
1189,[Compound(6770)],tetrahydrocoptisine
1190,[Compound(14315597)],tetrahydrocorysamine
1191,"[Compound(5417), Compound(72301), Compound(969488)]",tetrahydropalmatine
1192,[],"6""-O-acetyl-vitexin"
1193,[Compound(5742590)],beta-daucosterol
1194,[Compound(222284)],beta-sitosterol
1195,[Compound(1794427)],chlorogenic acid
1196,[Compound(5281643)],hyperoside
1197,[Compound(68972)],n-triacontanol
1198,[Compound(5280343)],quercetin
1199,[],quercetin 3-O-[alpha-L-rhamnopyranosyl(1-4)-alpha-L-rhamnopyranosyl-(1-6)-beta-glucopyranoside]
1200,"[Compound(5280804), Compound(25203368)]",quercetin 3-O-beta-D-glucoside
1201,[Compound(5280805)],rutin
1202,[Compound(64945)],ursolic acid
1203,[Compound(5280441)],vitexin
1204,[Compound(5282151)],"vitexin 2""-O-rhamnoside"
1205,[Compound(44257745)],"vitexin 4""-O-glucoside"
1206,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
1207,[Compound(5281643)],hyperoside
1208,[Compound(243696)],nonacosanol
1209,[Compound(5280805)],rutin
1210,[Compound(64945)],ursolic acid
1211,[Compound(5280441)],vitexin
1212,[],"1,3,7-trihydroxy-2,4-di(3-methylbut-2-enyl)xanthone"
1213,[],"1,4-dimethoxy-2,7-dihydroxyxanthone"
1214,[],"1-methoxy-3,7,8-trihydroxyxanthone"
1215,[],"1-methoxy-4,7,8-trihydroxyxanthone"
1216,[],"1-methoxy-4,7-dihydroxyxanthone"
1217,[],"2-geranyl-1,3,7-trihydroxy-4-(3-methylbut-2-enyl)xanthone"
1218,[Compound(11537710)],5-O-methylcelebixanthone
1219,[],"6-hydroxy-3,7-dimethoxy-8-(2-oxo-3-methylbut-3-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone"
1220,[],"6-hydroxy-3,7-dimethoxy-8-(3-methylbut-2-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone"
1221,[Compound(5281650)],alpha-mangostin
1222,[Compound(5281650)],alpha-mangostin
1223,[Compound(5495925)],beta-mangostin
1224,[Compound(5495925)],beta-mangostin
1225,[Compound(70680260)],celebixanthone
1226,[Compound(11633740)],cochinchinone A
1227,[Compound(70697833)],cochinchinone C
1228,[Compound(70697833)],cochinchinone C
1229,[Compound(73026577)],cochinchinone D
1230,[],cochinchinones A
1231,[],cochinchinones B
1232,[],cratoxylumxanthone A
1233,[],cratoxylumxanthones B
1234,[],cratoxylumxanthones C
1235,[],cratoxylumxanthones D
1236,[],dulcisxanthone B
1237,[],tectochrystin
1238,[Compound(45258544)],pruniflorone K
1239,[Compound(45258545)],pruniflorone L
1240,[Compound(46872119)],pruniflorone M
1241,[],pruniflorone N
1242,[Compound(46872121)],pruniflorone O
1243,[Compound(49857751)],pruniflorone P
1244,[Compound(49799114)],pruniflorone Q
1245,[Compound(46872236)],pruniflorone R
1246,[Compound(51042112)],pruniflorone S
1247,[Compound(51042110)],prunifloroside A
1248,[Compound(51042111)],prunifloroside B
1249,[Compound(51003418)],prunifloroside C
1250,[Compound(6474310)],"3,5-dicaffeoylquinic acid"
1251,[],cressanaphthacenone
1252,[],cressatetracosanoate
1253,[],cressatetratriacontanoic acid
1254,[],cressatriacontanone
1255,[],creticane
1256,[],kampferol-3-O-glucoside
1257,[Compound(5280343)],quercetin
1258,[Compound(5280804)],quercetin-3-O-glucoside
1259,[Compound(5280805)],rutin
1260,[Compound(5280460)],scopoletin
1261,[],syringaresinol-h-d-glucoside
1262,"[Compound(443694), Compound(402595), Compound(70682698)]",11-hydroxyvittatine
1263,[Compound(441589)],2-deoxylycorine
1264,[],8-hydroxylycorin-7-one
1265,[Compound(23259917)],hippamine
1266,[Compound(443693)],vittatine
1267,[Compound(14312562)],citroside A
1268,[Compound(101784735)],crotonionoside A
1269,[Compound(101784736)],crotonionoside B
1270,[Compound(101784737)],crotonionoside C
1271,[Compound(101784738)],crotonionoside D
1272,[Compound(101784739)],crotonionoside E
1273,[Compound(101784740)],crotonionoside F
1274,[Compound(101784741)],crotonionoside G
1275,[Compound(11760952)],dendranthemoside A
1276,[Compound(21603117)],dendranthemoside B
1277,[],eluterin A
1278,[Compound(101268700)],eluterin B
1279,[],eluterin C
1280,[],eluterin D
1281,[],eluterin E
1282,[Compound(101268699)],eluterin F
1283,[],eluterin G
1284,[],eluterin H
1285,[],eluterin I
1286,[],eluterin J
1287,[Compound(509244)],cudraflavanone B
1288,[Compound(5495918)],cudraxanthone S
1289,[Compound(5495919)],toxyloxanthone C
1290,[Compound(5281814)],wighteone
1291,[Compound(10806296)],"1,3,5-trihydroxy-4-(3-hydroxy-3-methylbutyl)xanthone"
1292,[Compound(69866203)],"1,3-dihydroxy-6,7-dimethoxyxanthone"
1293,[],"1,6,7-trihydroxy-2-(1,1-dimethyl-2-propenyl)-3-methoxyxanthone"
1294,[],"3,5,6-trihydroxy-1-methoxyxanthone"
1295,[Compound(86096014)],"3,6,7-trihydroxy-1-methoxyxanthone"
1296,[Compound(556516)],2-caren-10-al
1297,[Compound(14896)],beta-pinene
1298,[],cuminlaldehyde
1299,[Compound(7461)],gamma-terpinene
1300,[Compound(61130)],myrtenal
1301,[Compound(10703)],O-cymene
1302,[Compound(94221)],trans-carveol
1303,[],"(7S,8S)-3-methoxy-3',7-epoxy-8,4'-oxy-neoligna-4,9,9'-triol"
1304,"[Compound(5490064), Compound(12308704), Compound(44144273)]",avicularin
1305,[Compound(5318717)],juglanin
1306,[Compound(5280863)],kaempferol
1307,[Compound(5280343)],quercetin
1308,[],quercetin-3'-methoxy-3-O-alpha-L-arabinofuranoside
1309,[],alkaloids
1310,[],alkaloids
1311,[],Alkaloides
1312,[Compound(5280863)],kaempferol
1313,[],kaempferol-4'-methoxyl-7-O-beta-D-mancopyranosyl
1314,[],kaempferol-7-O-alpha-L-rhamnopyranosyl
1315,[Compound(5280343)],quercetin
1316,[],cyclocaric acid B
1317,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
1318,[Compound(5281855)],ellagic acid
1319,"[Compound(5280804), Compound(5378597), Compound(10813969), Compound(51402807), Compound(12304323), Compound(45933929)]",isoquercitrin
1320,[Compound(5280863)],kaempferol
1321,[Compound(5280343)],quercetin
1322,[Compound(102581164)],marylaurecinoside B
1323,[Compound(102286740)],marylaurecinoside C
1324,[],"2, 4-dihyroxyacetophenone"
1325,[],"2, 6-dihyroxyacetophenone"
1326,[Compound(125)],4-hydroxybenzenemethanol
1327,[Compound(243)],benzoic acid
1328,"[Compound(92156), Compound(345510), Compound(6708527), Compound(5318302), Compound(13019938), Compound(21141023)]",beta-amyrin acetate
1329,[Compound(5742590)],beta-daucosterol
1330,[Compound(222284)],beta-sitosterol
1331,[],glaucogenin C-3-O-alpha-D-oleandropyranosyl-(1 --> 4)-beta-D-digitoxopyranosyl-(1 -->4)-alpha-D-oleandropyranoside
1332,[Compound(985)],palmitic acid
1333,[],(+)-5'-methoxyisolariciresinol 3a-O-beta-D-glucopyranoside
1334,[Compound(222284)],beta-sitosterol
1335,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
1336,[Compound(129776581)],hexahydroxycholest-7-en-6-one
1337,[Compound(2266)],nonanedioic acid
1338,[Compound(985)],palmitic acid
1339,[Compound(5988)],sucrose
1340,[Compound(161749)],tylophorinidine
1341,[Compound(102596794)],caldaphnidine G
1342,[Compound(102596795)],caldaphnidine H
1343,[Compound(102596797)],caldaphnidine I
1344,[Compound(102596796)],caldaphnidine J
1345,[Compound(102596798)],caldaphnidine K
1346,[Compound(102596799)],caldaphnidine L
1347,[Compound(102596800)],caldaphnidine M
1348,[Compound(102596801)],caldaphnidine N
1349,[Compound(102596802)],caldaphnidine O
1350,[Compound(102596803)],caldaphnidine P
1351,[Compound(25135569)],caldaphnidine Q
1352,[Compound(25135570)],caldaphnidine R
1353,[Compound(10861970)],calyciphylline A
1354,[Compound(11132065)],calyciphylline B
1355,"[Compound(25209367), Compound(102282914)]",calyciphylline N
1356,"[Compound(45270575), Compound(102282915)]",calyciphylline O
1357,[],calyciphylline P
1358,[Compound(102424833)],daphnezomine T
1359,[Compound(102424834)],daphnezomine U
1360,[Compound(102424835)],daphnezomine V
1361,[Compound(102395665)],daphlongamine A
1362,[Compound(102395666)],daphlongamine B
1363,[Compound(102395667)],daphlongamine C
1364,[Compound(102395668)],daphlongamine D
1365,"[Compound(10045396), Compound(85102356), Compound(138114028)]",daphnicyclidin D
1366,"[Compound(11531079), Compound(72996818), Compound(129316625), Compound(133561802), Compound(137705480), Compound(146160035)]",daphnilongeranin A
1367,[Compound(11645544)],daphnilongeranin B
1368,"[Compound(11501289), Compound(72986107), Compound(129316546), Compound(133562841), Compound(137795757), Compound(146159666)]",daphnilongeranin C
1369,[Compound(101391555)],daphnilongeranin D
1370,"[Compound(21627122), Compound(12309037)]",daphniphylline
1371,"[Compound(10871574), Compound(5243215), Compound(129316618), Compound(137796233), Compound(146014448), Compound(146159349)]",deoxyisocalyciphylline B
1372,"[Compound(91885226), Compound(102349715), Compound(124222294), Compound(129316624), Compound(138114021), Compound(146159970)]",longistylumphylline A
1373,[Compound(102234472)],calyciphylline Q
1374,[Compound(102234473)],calyciphylline R
1375,[Compound(60204000)],calyciphylline S
1376,"[Compound(70686504), Compound(101584374)]",daphmacromine A
1377,"[Compound(70682263), Compound(101584375)]",daphmacromine B
1378,"[Compound(70684347), Compound(101584376)]",daphmacromine C
1379,"[Compound(70696900), Compound(101584377)]",daphmacromine D
1380,"[Compound(70692816), Compound(101584378)]",daphmacromine E
1381,[],daphmacromine F
1382,"[Compound(70686505), Compound(101584380)]",daphmacromine G
1383,"[Compound(70682264), Compound(101584381)]",daphmacromine H
1384,"[Compound(70692817), Compound(101584382)]",daphmacromine I
1385,"[Compound(70690670), Compound(101584383)]",daphmacromine J
1386,[],daphmacromine K
1387,[],daphmacromine L
1388,[],daphmacromine M
1389,[],daphmacromine N
1390,[],daphmacromine O
1391,[Compound(54720923)],daphnicyclidin A
1392,[Compound(102234470)],daphnicyclidin M
1393,[Compound(102234471)],daphnicyclidin N
1394,[Compound(54720047)],macropodumine B
1395,[Compound(54724259)],macropodumine C
1396,[Compound(54751123)],paxiphylline C
1397,"[Compound(44567618), Compound(101864270)]",daphnioldhanine H
1398,[Compound(101864271)],daphnioldhanine I
1399,[Compound(24850198)],daphnioldhanine J
1400,[Compound(101864272)],daphnioldhanine K
1401,[Compound(45269101)],dapholdhamine A
1402,[Compound(45269103)],dapholdhamine B
1403,[Compound(44233427)],dapholdhamine C
1404,[Compound(45273379)],dapholdhamine D
1405,"[Compound(23655743), Compound(101443287)]",daphnipaxianine A
1406,"[Compound(23655744), Compound(101443288)]",daphnipaxianine B
1407,[],daphnipaxianine C
1408,"[Compound(44445589), Compound(101443290)]",daphnipaxianine D
1409,"[Compound(75034218), Compound(75412541), Compound(102004418), Compound(102418716), Compound(129316549)]",11-hydroxycodaphniphylline
1410,[Compound(46882228)],17-hydroxydaphnigraciline
1411,[Compound(46882263)],daphnezomine L methyl ester
1412,"[Compound(46882262), Compound(91885237), Compound(91895294), Compound(102004586), Compound(133561803), Compound(146160176)]",Daphnilongeridine
1413,[Compound(25212621)],subdaphnidine A
1414,[Compound(102154904)],calycinine A
1415,"[Compound(76763789), Compound(72994110), Compound(129316544), Compound(133562839), Compound(138114016), Compound(146160067)]",daphniyunnine A
1416,[Compound(11638745)],daphniyunnine B
1417,[Compound(102184477)],daphniyunnine C
1418,[Compound(11709882)],daphniyunnine D
1419,[Compound(11537430)],daphniyunnine E
1420,[],macrodaphniphyllamine
1421,[],yunnandaphnine A
1422,[],yunnandaphnine B
1423,[],yunnandaphnine C
1424,[],yunnandaphnine D
1425,[],yunnandaphnine E
1426,[],"1,4-dihydroxy-3-methoxy-phenyl-4-O-beta-D-glucopyranoside"
1427,[],"3,4-dimethoxyphenyl-O-beta-D-gluco-pyranoside"
1428,[Compound(8468)],4-hydroxy-3-methoxybenzoic acid
1429,[Compound(689043)],caffeic acid
1430,[Compound(1794427)],chlorogenic acid
1431,[],davidioside A
1432,[],davidioside B
1433,[],davidiosides A
1434,[],davidiosides B
1435,[],davidiosides C
1436,[],involcranoside A
1437,[],involcranoside B
1438,"[Compound(14237625), Compound(14237626)]",leonuriside A
1439,[Compound(689075)],methyl caffeate
1440,[Compound(6476139)],methyl chlorogenate
1441,[Compound(92123)],picein
1442,[Compound(101929535)],14-acetylperegrine
1443,[Compound(101714438)],18-benzoyldavisinol
1444,[Compound(101714011)],6-deacetylperegrine
1445,[],Davisin
1446,[Compound(101714437)],davisinol
1447,"[Compound(431673), Compound(441736), Compound(101930091)]",hetisine
1448,[Compound(101930090)],hetisinone
1449,"[Compound(441742), Compound(170157), Compound(5281278), Compound(6713968), Compound(11957575), Compound(13343322), Compound(23640526), Compound(23986045), Compound(24867506), Compound(98052169), Compound(137706265)]",karakoline
1450,[Compound(101917138)],blacknidine
1451,[Compound(101917137)],blacknine
1452,[],14-hydroxyhetisinone N-oxide
1453,[],8-methoxykarakoline
1454,[],delphigraciline
1455,"[Compound(441709), Compound(6426913), Compound(135897293), Compound(12299862), Compound(118701194)]",atisine
1456,[],delcorinine
1457,[],honatisine
1458,"[Compound(493986), Compound(245006), Compound(15923459), Compound(122212724)]",isoatisine
1459,[Compound(102468980)],nordhagenine A
1460,[Compound(101713177)],siwanine E
1461,[],uraphine
1462,[],majusidine A
1463,[],majusidine B
1464,[Compound(102283125)],majusimine A
1465,[Compound(102283126)],majusimine B
1466,[Compound(102283127)],majusimine C
1467,[Compound(102283128)],majusimine D
1468,[Compound(102283122)],majusine A
1469,[Compound(102283123)],majusine B
1470,[Compound(102283124)],majusine C
1471,"[Compound(441704), Compound(3085329), Compound(44445639), Compound(49767730)]",14-acetylbrowniine
1472,"[Compound(21635789), Compound(101006109)]",14-deacetyl-14-isobutyrylnudicauline
1473,[Compound(441722)],14-deacetylnudicauline
1474,[],14-demethyl-14-acetylanhweidelphinine
1475,[],14-demethyl-14-isobutyrylanhweidelphinin
1476,[],18-methoxygadesine
1477,[],2-dehydrodeacetylheterophylloidine
1478,"[Compound(441714), Compound(165288), Compound(92854545)]",browniine
1479,"[Compound(441725), Compound(120726), Compound(57525180), Compound(15558846), Compound(23641115), Compound(49767005), Compound(54607994), Compound(145925533)]",delcosine
1480,"[Compound(441742), Compound(170157), Compound(5281278), Compound(6713968), Compound(11957575), Compound(13343322), Compound(23640526), Compound(23986045), Compound(24867506), Compound(98052169), Compound(137706265)]",karakoline
1481,"[Compound(441746), Compound(99924), Compound(11972492), Compound(15558864), Compound(57506221), Compound(5458521), Compound(23641114), Compound(49766652), Compound(76956004), Compound(91930355), Compound(98137022), Compound(145994476), Compound(145994515), Compound(146158396)]",lycoctonine
1482,[Compound(73337)],magnoflorine
1483,"[Compound(494471), Compound(5288811), Compound(107640), Compound(441748), Compound(5311278), Compound(5459119), Compound(6426938), Compound(44575473), Compound(44657105), Compound(54604862), Compound(138404422), Compound(139215932), Compound(139292146)]",methyllycaconitine
1484,"[Compound(120682), Compound(10003218), Compound(95371629), Compound(146014456), Compound(12313185), Compound(23641071), Compound(54608647), Compound(146158942)]",neoline
1485,[Compound(101352909)],13-(2-methylbutyryl)azitine
1486,"[Compound(21635790), Compound(101006110)]",14-deacetyl-14-isobutyrylajadine
1487,[Compound(441722)],14-deacetylnudicauline
1488,[Compound(101667972)],ajacine
1489,[Compound(101352910)],delbine
1490,"[Compound(441725), Compound(120726), Compound(57525180), Compound(15558846), Compound(23641115), Compound(49767005), Compound(54607994), Compound(145925533)]",delcosine
1491,"[Compound(101352912), Compound(124201446)]",delectinine
1492,"[Compound(185185), Compound(101631696), Compound(134715261)]",deltatsine
1493,"[Compound(44631199), Compound(102465295)]",dictysine
1494,"[Compound(73348772), Compound(21668723), Compound(100915313), Compound(138404357)]",geyerline
1495,"[Compound(441746), Compound(99924), Compound(11972492), Compound(15558864), Compound(57506221), Compound(5458521), Compound(23641114), Compound(49766652), Compound(76956004), Compound(91930355), Compound(98137022), Compound(145994476), Compound(145994515), Compound(146158396)]",lycoctonine
1496,"[Compound(494471), Compound(5288811), Compound(107640), Compound(441748), Compound(5311278), Compound(5459119), Compound(6426938), Compound(44575473), Compound(44657105), Compound(54604862), Compound(138404422), Compound(139215932), Compound(139292146)]",methyllycaconitine
1497,"[Compound(21635790), Compound(101006110)]",14-deacetyl-14-isobutyrylajadine
1498,"[Compound(21635789), Compound(101006109)]",14-deacetyl-14-isobutyrylnudicauline
1499,[Compound(182379)],14-deacetylajadine
1500,[Compound(441722)],14-deacetylnudicauline
1501,[Compound(101006108)],14-demethyltuguaconitine
1502,[Compound(101667972)],ajacine
1503,"[Compound(3085140), Compound(101596819)]",ajadine
1504,"[Compound(185387), Compound(101006111)]",delbonine
1505,"[Compound(441725), Compound(120726), Compound(57525180), Compound(15558846), Compound(23641115), Compound(49767005), Compound(54607994), Compound(145925533)]",delcosine
1506,"[Compound(185185), Compound(101631696), Compound(134715261)]",deltatsine
1507,"[Compound(494471), Compound(5288811), Compound(107640), Compound(441748), Compound(5311278), Compound(5459119), Compound(6426938), Compound(44575473), Compound(44657105), Compound(54604862), Compound(138404422), Compound(139215932), Compound(139292146)]",methyllycaconitine
1508,"[Compound(441750), Compound(71450902), Compound(188651), Compound(45033127), Compound(101631701), Compound(145994475)]",nudicauline
1509,[],14-acetylchasmanine
1510,[Compound(21606633)],19-oxodihydroatisine
1511,[],22-O-acetyl-19-oxodihydroatisine
1512,[],bullatine C
1513,"[Compound(20055812), Compound(165283), Compound(57412952), Compound(139035022), Compound(146159030)]",chasmanine
1514,"[Compound(441726), Compound(97909), Compound(91667681), Compound(102239725), Compound(118701199)]",delphinine
1515,"[Compound(245004), Compound(21606634), Compound(124585849), Compound(133568472)]",dihydroatisine
1516,"[Compound(10542184), Compound(135958682)]",isoazitine
1517,"[Compound(120682), Compound(10003218), Compound(95371629), Compound(146014456), Compound(12313185), Compound(23641071), Compound(54608647), Compound(146158942)]",neoline
1518,[],tiantaishandine
1519,[],tiantaishanmine
1520,[],tiantaishannine
1521,[],tiantaishansine
1522,[],trichodelphinine
1523,[],trichodelphinine A
1524,[],trichodelphinine C
1525,[],trichodelphinine D
1526,[],trichodelphinine E
1527,[],trichodelphinine F
1528,[Compound(101747389)],trifoliolasine D
1529,[Compound(101747390)],trifoliolasine E
1530,[Compound(101747391)],trifoliolasine F
1531,[Compound(10911949)],dendocarbin A
1532,[Compound(10879534)],dendocarbin B
1533,[Compound(10857966)],dendocarbin C
1534,[Compound(11129314)],dendocarbin D
1535,[Compound(11065317)],dendocarbin E
1536,[Compound(11129173)],dendocarbin F
1537,[Compound(11021755)],dendocarbin G
1538,[Compound(10922891)],dendocarbin H
1539,[Compound(11109174)],dendocarbin I
1540,[Compound(10334643)],dendocarbin J
1541,[Compound(11808534)],dendocarbin K
1542,[Compound(11747525)],dendocarbin L
1543,[Compound(10945374)],dendocarbin M
1544,[Compound(21592441)],dendocarbin N
1545,[Compound(14777892)],"2,7-dihydroxy-4-methoxyphenanthrene"
1546,[],bafoudiosbulbins A
1547,[],bafoudiosbulbins B
1548,[],bafoudiosbulbins C
1549,[],bafoudiosbulbins F
1550,[],bafoudiosbulbins G
1551,[],(25R)-dracaenoside G
1552,[],7-oxodioscin
1553,[Compound(119245)],dioscin
1554,[Compound(101855151)],dioseptemloside G
1555,"[Compound(159861), Compound(496769), Compound(6712583), Compound(137705996), Compound(129317287), Compound(131675182), Compound(131801310)]",gracillin
1556,"[Compound(11263254), Compound(500376), Compound(171347), Compound(123134748)]",methylprotodioscin
1557,[],orbiculatoside B
1558,[Compound(11061578)],progenin III
1559,[Compound(52931427)],dioscoreside C
1560,[],dioscoreside D
1561,[Compound(52931423)],dioscoreside E
1562,[],pregnadienolone 3-O-beta-chacotrioside
1563,[],pregnadienolone 3-O-beta-gracillimatriose
1564,[Compound(441891)],protodioscin
1565,"[Compound(51346147), Compound(21637110), Compound(73817989), Compound(102004851), Compound(131801368), Compound(146156249)]",pseudoprotodioscin
1566,[],dioseptemloside I
1567,[],dioseptemloside J
1568,"[Compound(52931514), Compound(6712590), Compound(10534151)]",hypoglaucin G
1569,"[Compound(11263254), Compound(500376), Compound(171347), Compound(123134748)]",methylprotodioscin
1570,[Compound(52931347)],spongioside A
1571,[Compound(52931348)],spongioside B
1572,[Compound(52931510)],spongipregnoloside A
1573,[Compound(52931511)],spongipregnoloside B
1574,[Compound(52931512)],spongipregnoloside C
1575,[Compound(52931513)],spongipregnoloside D
1576,[],(Z) -3-Teoadecen-5-yne
1577,[Compound(14896)],beta-Pinene
1578,[Compound(985)],n-Hexadecanoic acid
1579,"[Compound(5280435), Compound(5366244), Compound(145386), Compound(5320547), Compound(9018)]",Phytol
1580,[],Alkaloids
1581,[Compound(10494)],oleanolic acid
1582,"[Compound(168849), Compound(3818047), Compound(6708644), Compound(90470831), Compound(12313193), Compound(134728117)]",Pectolinarin
1583,[Compound(382831)],pomolic acid
1584,[Compound(64945)],ursolic acid
1585,[],?-sitosterol
1586,[Compound(6442291)],"2""-p-coumarylastragalin"
1587,[Compound(5280442)],acacetin
1588,[],acacetin-7-O-(6-O-Malonyl-beta-D-glucopyranoside)
1589,[],agastachoside
1590,[],agastachoside
1591,[Compound(5280443)],apigenin
1592,[Compound(5742590)],beta-daucosterol
1593,[Compound(5281654)],isorhamnetin
1594,[Compound(5280863)],kaempferol
1595,[],"kaempferol-3-O-beta-D-(6""-O-p-coumaroyl)-galactopyranoside"
