"","chemicals"
"913","coumaric acid"
"914","daucosterol"
"915","kaempferol"
"916","palmitic acid"
"917","trans-3-tridecene-5,7,9,11-tetrayne-1,2-diol"
"918","trans-trans-3,11-tridecadiene -5,7,9-triyne -1,2-diol"
"919","Alkaloids"
"920","3beta-hydroxy-oleanolic acid methyl ester"
"921","9-hydroxy-dodecanoic acid"
"922","beta-phenylacrylic acid"
"923","beta-sitosterol"
"924","beta-sitosterol"
"925","beta-sitosterol"
"926","daucosterol"
"927","ethyl laurate"
"928","ethyl stearate"
"929","ferulic acid"
"930","ferulic acid beta-glucoside"
"931","gallic acid"
"932","gallicin"
"933","honokiol"
"934","magnolol"
"935","methylconiferin"
"936","oleanolic acid"
"937","osthole"
"938","paeonol"
"939","parahydroxybenzaldehyde"
"940","p-hydroxybenzoic acid"
"941","shikimic acid"
"942","stigmasterol"
"943","syringaresinol"
"944","rugosusine A"
"945","rugosusine B"
"946","alkaloids"
"947","11-beta-hydroxycephalotaxine beta-N-oxide"
"948","cephalotaxine alpha-N-oxide"
"949","cephalotaxine beta-N-oxide"
"950","isocephalotaxine"
"951","cephalancetine A"
"952","cephalancetine B"
"953","cephalancetine D"
"954","C-3-epi-wilsonione"
"955","taiwanhomoflavone C"
"956","beta-sitosterol"
"957","betulin"
"958","betulinic acid"
"959","ent-5alpha-dolabr-4 (18) -ene-15S,16-diol"
"960","lup-20 (29) -en-3-on-28-oic acid"
"961","lup-20 (29) -en-3-on-28-ol"
"962","n-hexacosanylferulate"
"963","squalene"
"964","tagalsin A"
"965","tagalsin A"
"966","tagalsin B"
"967","tagalsin C"
"968","tagalsin D"
"969","tagalsin E"
"970","tagalsin F"
"971","tagalsin G"
"972","tagalsin I"
"973","tagalsin J"
"974","limonene"
"975","p-cymene"
"976","Sabinene"
"977","cis-beta-ocimene"
"978","fenchyl acetate"
"979","myristicin"
"980","sabinene"
"981","terpinolene"
"982","trans-beta-ocimene"
"983","5-hydroxy-8-methoxypsoralen"
"984","beta-sitosterol"
"985","daucosterol"
"986","glycerylmonopalmitate"
"987","lignoceric acid"
"988","L-pyroglutamic acid"
"989","stigmasterol"
"990","succinic acid"
"991","vanillic acid"
"992","vanillic acid-4-O-beta-D-glucopyranoside"
"993","(E)-p-methyl cinnamic acid"
"994","13-epi-torulosal"
"995","14-diene"
"996","19-acetoxy-13-hydroxylabada-8"
"997","1beta-hydroxylupenol"
"998","beta-sitosterol"
"999","lupenol"
"1000","vanillic acid"
"1001","(E)-ascaridole"
"1002","(E)-piperitol acetate"
"1003","(Z)-ascaridole"
"1004","(Z)-carvyl acetate"
"1005","alpha-pinene"
"1006","alpha-terpinene"
"1007","alpha-terpinene"
"1008","alpha-terpineol"
"1009","alpha-terpinyl acetate"
"1010","ascaridole"
"1011","benzyl alcohol"
"1012","carvacrol"
"1013","carvacrol"
"1014","limonene"
"1015","p-cimen-8-ol"
"1016","p-cresol"
"1017","p-cymene"
"1018","p-cymene"
"1019","piperitone"
"1020","p-mentha-1,3,8-triene"
"1021","apigenin"
"1022","chrysoerid"
"1023","chrysoerin-7-O-beta-D-glucoside"
"1024","isoquercitrin"
"1025","kaempferol"
"1026","quercetin"
"1027","quercetin-3-O-alpha-D-arabinfuranoside"
"1028","camphor"
"1029","cis-chrysanthenyl acetate"
"1030","E-?-farnesene"
"1031","germacrene D"
"1032","isobornyl acetate"
"1033","iso-italicene"
"1034","myrcene"
"1035","neoiso-3-thujanol"
"1036","perilla aldehyde"
"1037","phenylpropyl butanoate"
"1038","santolina triene"
"1039","Z-?-ocimene"
"1040","acacetin 7-O-beta-D-(3""-acetyl) -glucopyranoside"
"1041","acacetin 7-O-beta-D-glucopyranoside"
"1042","apigenin 7-O-beta-D-glucopyranoside"
"1043","diosmetin 7-O-beta-D-glucopyranoside"
"1044","hesperetin 7-O-beta-D-glucopyranoside"
"1045","hesperidin"
"1046","linarin"
"1047","luteolin"
"1048","luteolin 7-O-beta-D-(6""-acetyl)-glucopyranoside"
"1049","luteolin 7-O-beta-D-glucopyranoside"
"1050","quercetin"
"1051","alkaloids"
"1052","2-(4'-hydroxypyridin-3'-yl)-acetic acid"
"1053","cinnaretamine"
"1054","corydaldine"
"1055","crykonisine"
"1056","glaziovine"
"1057","zenkerine"
"1058","alkaloids"
"1059","coumarins"
"1060","excavatine A"
"1061","excavatine B"
"1062","excavatine C"
"1063","1-docosanol"
"1064","3,4-dihydroxy-trans coumatate ethyl ester"
"1065","beta-sitosterol"
"1066","daucosterol"
"1067","palmitic acid"
"1068","pentacosanoic acid-2', 3'-dihydroxypropyl ester"
"1069","syringaresinol-O-D-glucopyranoside"
"1070","clematichinenoside A"
"1071","clematichinenoside B"
"1072","clematochinenosides A"
"1073","clematochinenosides B"
"1074","clematochinenosides C"
"1075","clematochinenosides D"
"1076","clematochinenosides E"
"1077","clematochinenosides F"
"1078","clematochinenosides G"
"1079","hederagenin"
"1080","oleanolic acid"
"1081","5-hydroxumethyl-5H-furan-2-one"
"1082","anemonin"
"1083","beta-sitosterol"
"1084","daucosterol"
"1085","friedelin"
"1086","isolariciresinol"
"1087","n-nonane"
"1088","palmitic acid"
"1089","vanillic acid"
"1090","clematomandshurica saponin E"
"1091","clematomandshurica saponins A"
"1092","clematomandshurica saponins B"
"1093","clematomandshurica saponins C"
"1094","clematomandshurica saponins D"
"1095","mandshunoside A"
"1096","mandshunoside B"
"1097","(-) syringaresinol"
"1098","(-)episyringaresinol"
"1099","(+) lariciresinol-4, 4'-O-bis-beta-D-glucopyranoside"
"1100","(+) lariciresinol-4'-O-beta-D-glucopyranoside"
"1101","(+) lariciresinol-4-O-beta-D-glucopyranoside"
"1102","(+) medioresinol-4'-O-beta-D-glucopyranoside"
"1103","(+) pinoresionol"
"1104","(+) pinoresionol4, 4'-O-bis-beta-D-glucopyranoside"
"1105","(+) pinoresionol-4'-O-p-D-glucopyranoside"
"1106","(+) syringaresinol-4'-O-beta-D-glucopyranoside"
"1107","alkanoids"
"1108","isomangiferin"
"1109","mangiferin"
"1110","Alkaloids"
"1111","14-deoxycoleon U"
"1112","alpha-amyrin"
"1113","alpha-cedrol"
"1114","beta-sitosterol"
"1115","betulic acid"
"1116","demethylcryptojaponol"
"1117","comastomasides A"
"1118","comastomasides B"
"1119","comastomasides C"
"1120","comastomasides D"
"1121","comastomasides E"
"1122","1 -hydroxy-3,7-dimethoxyxanthone"
"1123","1,2,6,8-tetrahydroxyxanthone"
"1124","1,3,7-trihydroxy4- methoxyxanthone"
"1125","1,6,8-trihydroxy-2-methoxyxanthone"
"1126","1,8-dihydroxy-2,6-dimethoxyxanthone"
"1127","1,8-dihydroxy-3,5-dimethoxyxanthone"
"1128","1-hydroxy-3,5,8-trimethoxyxanthone"
"1129","6,8-dihydroxy-1, 2-dimethoxyxanthone"
"1130","8-hydroxy-1,2,6-trimethoxyxanthone"
"1131","ajaconine"
"1132","consolidine"
"1133","delsoline"
"1134","gigactonine"
"1135","pubescenine"
"1136","14-demethyltuguaconitine"
"1137","18-demethylpubescenine"
"1138","delcosine"
"1139","gigactonine"
"1140","takaosamine"
"1141","willipelletierine"
"1142","astragalin"
"1143","beta-caryophyllene-4,5-alpha-oxide"
"1144","erythrodiol"
"1145","isoquercitrin"
"1146","isorhamnetin 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside"
"1147","kaempferol 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside"
"1148","narcissin"
"1149","nicotiflorin"
"1150","quercetin 3-O-(6' '-O-E-caffeoyl)-beta-D-glucopyranoside"
"1151","rutin"
"1152","1-(3'-methoxypropanoyl)-2,4,5-trimethoxybenzene"
"1153","2-(2Z)-(3-hydroxy-3,7-dimethylocta-2, 6-dienyl)-1,4-benzenediol"
"1154","cordiaquinone A"
"1155","cordiaquinone B"
"1156","cordiaquinone J"
"1157","cordiaquinone K"
"1158","cordiaquinones J"
"1159","cordiaquinones K"
"1160","cordiachrome A"
"1161","cordiachrome B"
"1162","cordiachrome C"
"1163","cordiaquinol C"
"1164","globiferin"
"1165","cordiaquinone B"
"1166","alpha-terpinene"
"1167","alpha-thujene"
"1168","beta-myrcene"
"1169","carvacrol"
"1170","gamma-terpinene"
"1171","p-cymene"
"1172","thymol"
"1173","13-methyl-columbamine"
"1174","13-methyl-palmatrubine"
"1175","8-oxocoptisine"
"1176","columbamine"
"1177","coptisine"
"1178","corydaline"
"1179","dehydrocorybulbine"
"1180","dehydrocorydaline"
"1181","glaucine"
"1182","herberine"
"1183","noroxyhydrastine"
"1184","oxoglaucine"
"1185","palmatine"
"1186","protopine"
"1187","stepharanine"
"1188","tetrahydroberberine"
"1189","tetrahydrocolumbamine"
"1190","tetrahydrocoptisine"
"1191","tetrahydrocorysamine"
"1192","tetrahydropalmatine"
"1193","6""-O-acetyl-vitexin"
"1194","beta-daucosterol"
"1195","beta-sitosterol"
"1196","chlorogenic acid"
"1197","hyperoside"
"1198","n-triacontanol"
"1199","quercetin"
"1200","quercetin 3-O-[alpha-L-rhamnopyranosyl(1-4)-alpha-L-rhamnopyranosyl-(1-6)-beta-glucopyranoside]"
"1201","quercetin 3-O-beta-D-glucoside"
"1202","rutin"
"1203","ursolic acid"
"1204","vitexin"
"1205","vitexin 2""-O-rhamnoside"
"1206","vitexin 4""-O-glucoside"
"1207","daucosterol"
"1208","hyperoside"
"1209","nonacosanol"
"1210","rutin"
"1211","ursolic acid"
"1212","vitexin"
"1213","1,3,7-trihydroxy-2,4-di(3-methylbut-2-enyl)xanthone"
"1214","1,4-dimethoxy-2,7-dihydroxyxanthone"
"1215","1-methoxy-3,7,8-trihydroxyxanthone"
"1216","1-methoxy-4,7,8-trihydroxyxanthone"
"1217","1-methoxy-4,7-dihydroxyxanthone"
"1218","2-geranyl-1,3,7-trihydroxy-4-(3-methylbut-2-enyl)xanthone"
"1219","5-O-methylcelebixanthone"
"1220","6-hydroxy-3,7-dimethoxy-8-(2-oxo-3-methylbut-3-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone"
"1221","6-hydroxy-3,7-dimethoxy-8-(3-methylbut-2-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone"
"1222","alpha-mangostin"
"1223","alpha-mangostin"
"1224","beta-mangostin"
"1225","beta-mangostin"
"1226","celebixanthone"
"1227","cochinchinone A"
"1228","cochinchinone C"
"1229","cochinchinone C"
"1230","cochinchinone D"
"1231","cochinchinones A"
"1232","cochinchinones B"
"1233","cratoxylumxanthone A"
"1234","cratoxylumxanthones B"
"1235","cratoxylumxanthones C"
"1236","cratoxylumxanthones D"
"1237","dulcisxanthone B"
"1238","tectochrystin"
"1239","pruniflorone K"
"1240","pruniflorone L"
"1241","pruniflorone M"
"1242","pruniflorone N"
"1243","pruniflorone O"
"1244","pruniflorone P"
"1245","pruniflorone Q"
"1246","pruniflorone R"
"1247","pruniflorone S"
"1248","prunifloroside A"
"1249","prunifloroside B"
"1250","prunifloroside C"
"1251","3,5-dicaffeoylquinic acid"
"1252","cressanaphthacenone"
"1253","cressatetracosanoate"
"1254","cressatetratriacontanoic acid"
"1255","cressatriacontanone"
"1256","creticane"
"1257","kampferol-3-O-glucoside"
"1258","quercetin"
"1259","quercetin-3-O-glucoside"
"1260","rutin"
"1261","scopoletin"
"1262","syringaresinol-h-d-glucoside"
"1263","11-hydroxyvittatine"
"1264","2-deoxylycorine"
"1265","8-hydroxylycorin-7-one"
"1266","hippamine"
"1267","vittatine"
"1268","citroside A"
"1269","crotonionoside A"
"1270","crotonionoside B"
"1271","crotonionoside C"
"1272","crotonionoside D"
"1273","crotonionoside E"
"1274","crotonionoside F"
"1275","crotonionoside G"
"1276","dendranthemoside A"
"1277","dendranthemoside B"
"1278","eluterin A"
"1279","eluterin B"
"1280","eluterin C"
"1281","eluterin D"
"1282","eluterin E"
"1283","eluterin F"
"1284","eluterin G"
"1285","eluterin H"
"1286","eluterin I"
"1287","eluterin J"
"1288","cudraflavanone B"
"1289","cudraxanthone S"
"1290","toxyloxanthone C"
"1291","wighteone"
"1292","1,3,5-trihydroxy-4-(3-hydroxy-3-methylbutyl)xanthone"
"1293","1,3-dihydroxy-6,7-dimethoxyxanthone"
"1294","1,6,7-trihydroxy-2-(1,1-dimethyl-2-propenyl)-3-methoxyxanthone"
"1295","3,5,6-trihydroxy-1-methoxyxanthone"
"1296","3,6,7-trihydroxy-1-methoxyxanthone"
"1297","2-caren-10-al"
"1298","beta-pinene"
"1299","cuminlaldehyde"
"1300","gamma-terpinene"
"1301","myrtenal"
"1302","O-cymene"
"1303","trans-carveol"
"1304","(7S,8S)-3-methoxy-3',7-epoxy-8,4'-oxy-neoligna-4,9,9'-triol"
"1305","avicularin"
"1306","juglanin"
"1307","kaempferol"
"1308","quercetin"
"1309","quercetin-3'-methoxy-3-O-alpha-L-arabinofuranoside"
"1310","alkaloids"
"1311","alkaloids"
"1312","Alkaloides"
"1313","kaempferol"
"1314","kaempferol-4'-methoxyl-7-O-beta-D-mancopyranosyl"
"1315","kaempferol-7-O-alpha-L-rhamnopyranosyl"
"1316","quercetin"
"1317","cyclocaric acid B"
"1318","daucosterol"
"1319","ellagic acid"
"1320","isoquercitrin"
"1321","kaempferol"
"1322","quercetin"
"1323","marylaurecinoside B"
"1324","marylaurecinoside C"
"1325","2, 4-dihyroxyacetophenone"
"1326","2, 6-dihyroxyacetophenone"
"1327","4-hydroxybenzenemethanol"
"1328","benzoic acid"
"1329","beta-amyrin acetate"
"1330","beta-daucosterol"
"1331","beta-sitosterol"
"1332","glaucogenin C-3-O-alpha-D-oleandropyranosyl-(1 --> 4)-beta-D-digitoxopyranosyl-(1 -->4)-alpha-D-oleandropyranoside"
"1333","palmitic acid"
"1334","(+)-5'-methoxyisolariciresinol 3a-O-beta-D-glucopyranoside"
"1335","beta-sitosterol"
"1336","daucosterol"
"1337","hexahydroxycholest-7-en-6-one"
"1338","nonanedioic acid"
"1339","palmitic acid"
"1340","sucrose"
"1341","tylophorinidine"
"1342","caldaphnidine G"
"1343","caldaphnidine H"
"1344","caldaphnidine I"
"1345","caldaphnidine J"
"1346","caldaphnidine K"
"1347","caldaphnidine L"
"1348","caldaphnidine M"
"1349","caldaphnidine N"
"1350","caldaphnidine O"
"1351","caldaphnidine P"
"1352","caldaphnidine Q"
"1353","caldaphnidine R"
"1354","calyciphylline A"
"1355","calyciphylline B"
"1356","calyciphylline N"
"1357","calyciphylline O"
"1358","calyciphylline P"
"1359","daphnezomine T"
"1360","daphnezomine U"
"1361","daphnezomine V"
"1362","daphlongamine A"
"1363","daphlongamine B"
"1364","daphlongamine C"
"1365","daphlongamine D"
"1366","daphnicyclidin D"
"1367","daphnilongeranin A"
"1368","daphnilongeranin B"
"1369","daphnilongeranin C"
"1370","daphnilongeranin D"
"1371","daphniphylline"
"1372","deoxyisocalyciphylline B"
"1373","longistylumphylline A"
"1374","calyciphylline Q"
"1375","calyciphylline R"
"1376","calyciphylline S"
"1377","daphmacromine A"
"1378","daphmacromine B"
"1379","daphmacromine C"
"1380","daphmacromine D"
"1381","daphmacromine E"
"1382","daphmacromine F"
"1383","daphmacromine G"
"1384","daphmacromine H"
"1385","daphmacromine I"
"1386","daphmacromine J"
"1387","daphmacromine K"
"1388","daphmacromine L"
"1389","daphmacromine M"
"1390","daphmacromine N"
"1391","daphmacromine O"
"1392","daphnicyclidin A"
"1393","daphnicyclidin M"
"1394","daphnicyclidin N"
"1395","macropodumine B"
"1396","macropodumine C"
"1397","paxiphylline C"
"1398","daphnioldhanine H"
"1399","daphnioldhanine I"
"1400","daphnioldhanine J"
"1401","daphnioldhanine K"
"1402","dapholdhamine A"
"1403","dapholdhamine B"
"1404","dapholdhamine C"
"1405","dapholdhamine D"
"1406","daphnipaxianine A"
"1407","daphnipaxianine B"
"1408","daphnipaxianine C"
"1409","daphnipaxianine D"
"1410","11-hydroxycodaphniphylline"
"1411","17-hydroxydaphnigraciline"
"1412","daphnezomine L methyl ester"
"1413","Daphnilongeridine"
"1414","subdaphnidine A"
"1415","calycinine A"
"1416","daphniyunnine A"
"1417","daphniyunnine B"
"1418","daphniyunnine C"
"1419","daphniyunnine D"
"1420","daphniyunnine E"
"1421","macrodaphniphyllamine"
"1422","yunnandaphnine A"
"1423","yunnandaphnine B"
"1424","yunnandaphnine C"
"1425","yunnandaphnine D"
"1426","yunnandaphnine E"
"1427","1,4-dihydroxy-3-methoxy-phenyl-4-O-beta-D-glucopyranoside"
"1428","3,4-dimethoxyphenyl-O-beta-D-gluco-pyranoside"
"1429","4-hydroxy-3-methoxybenzoic acid"
"1430","caffeic acid"
"1431","chlorogenic acid"
"1432","davidioside A"
"1433","davidioside B"
"1434","davidiosides A"
"1435","davidiosides B"
"1436","davidiosides C"
"1437","involcranoside A"
"1438","involcranoside B"
"1439","leonuriside A"
"1440","methyl caffeate"
"1441","methyl chlorogenate"
"1442","picein"
"1443","14-acetylperegrine"
"1444","18-benzoyldavisinol"
"1445","6-deacetylperegrine"
"1446","Davisin"
"1447","davisinol"
"1448","hetisine"
"1449","hetisinone"
"1450","karakoline"
"1451","blacknidine"
"1452","blacknine"
"1453","14-hydroxyhetisinone N-oxide"
"1454","8-methoxykarakoline"
"1455","delphigraciline"
"1456","atisine"
"1457","delcorinine"
"1458","honatisine"
"1459","isoatisine"
"1460","nordhagenine A"
"1461","siwanine E"
"1462","uraphine"
"1463","majusidine A"
"1464","majusidine B"
"1465","majusimine A"
"1466","majusimine B"
"1467","majusimine C"
"1468","majusimine D"
"1469","majusine A"
"1470","majusine B"
"1471","majusine C"
"1472","14-acetylbrowniine"
"1473","14-deacetyl-14-isobutyrylnudicauline"
"1474","14-deacetylnudicauline"
"1475","14-demethyl-14-acetylanhweidelphinine"
"1476","14-demethyl-14-isobutyrylanhweidelphinin"
"1477","18-methoxygadesine"
"1478","2-dehydrodeacetylheterophylloidine"
"1479","browniine"
"1480","delcosine"
"1481","karakoline"
"1482","lycoctonine"
"1483","magnoflorine"
"1484","methyllycaconitine"
"1485","neoline"
"1486","13-(2-methylbutyryl)azitine"
"1487","14-deacetyl-14-isobutyrylajadine"
"1488","14-deacetylnudicauline"
"1489","ajacine"
"1490","delbine"
"1491","delcosine"
"1492","delectinine"
"1493","deltatsine"
"1494","dictysine"
"1495","geyerline"
"1496","lycoctonine"
"1497","methyllycaconitine"
"1498","14-deacetyl-14-isobutyrylajadine"
"1499","14-deacetyl-14-isobutyrylnudicauline"
"1500","14-deacetylajadine"
"1501","14-deacetylnudicauline"
"1502","14-demethyltuguaconitine"
"1503","ajacine"
"1504","ajadine"
"1505","delbonine"
"1506","delcosine"
"1507","deltatsine"
"1508","methyllycaconitine"
"1509","nudicauline"
"1510","14-acetylchasmanine"
"1511","19-oxodihydroatisine"
"1512","22-O-acetyl-19-oxodihydroatisine"
"1513","bullatine C"
"1514","chasmanine"
"1515","delphinine"
"1516","dihydroatisine"
"1517","isoazitine"
"1518","neoline"
"1519","tiantaishandine"
"1520","tiantaishanmine"
"1521","tiantaishannine"
"1522","tiantaishansine"
"1523","trichodelphinine"
"1524","trichodelphinine A"
"1525","trichodelphinine C"
"1526","trichodelphinine D"
"1527","trichodelphinine E"
"1528","trichodelphinine F"
"1529","trifoliolasine D"
"1530","trifoliolasine E"
"1531","trifoliolasine F"
"1532","dendocarbin A"
"1533","dendocarbin B"
"1534","dendocarbin C"
"1535","dendocarbin D"
"1536","dendocarbin E"
"1537","dendocarbin F"
"1538","dendocarbin G"
"1539","dendocarbin H"
"1540","dendocarbin I"
"1541","dendocarbin J"
"1542","dendocarbin K"
"1543","dendocarbin L"
"1544","dendocarbin M"
"1545","dendocarbin N"
"1546","2,7-dihydroxy-4-methoxyphenanthrene"
"1547","bafoudiosbulbins A"
"1548","bafoudiosbulbins B"
"1549","bafoudiosbulbins C"
"1550","bafoudiosbulbins F"
"1551","bafoudiosbulbins G"
"1552","(25R)-dracaenoside G"
"1553","7-oxodioscin"
"1554","dioscin"
"1555","dioseptemloside G"
"1556","gracillin"
"1557","methylprotodioscin"
"1558","orbiculatoside B"
"1559","progenin III"
"1560","dioscoreside C"
"1561","dioscoreside D"
"1562","dioscoreside E"
"1563","pregnadienolone 3-O-beta-chacotrioside"
"1564","pregnadienolone 3-O-beta-gracillimatriose"
"1565","protodioscin"
"1566","pseudoprotodioscin"
"1567","dioseptemloside I"
"1568","dioseptemloside J"
"1569","hypoglaucin G"
"1570","methylprotodioscin"
"1571","spongioside A"
"1572","spongioside B"
"1573","spongipregnoloside A"
"1574","spongipregnoloside B"
"1575","spongipregnoloside C"
"1576","spongipregnoloside D"
"1577","(Z) -3-Teoadecen-5-yne"
"1578","beta-Pinene"
"1579","n-Hexadecanoic acid"
"1580","Phytol"
"1581","Alkaloids"
"1582","oleanolic acid"
"1583","Pectolinarin"
"1584","pomolic acid"
"1585","ursolic acid"
"1586","?-sitosterol"
"1587","2""-p-coumarylastragalin"
"1588","acacetin"
"1589","acacetin-7-O-(6-O-Malonyl-beta-D-glucopyranoside)"
"1590","agastachoside"
"1591","agastachoside"
"1592","apigenin"
"1593","beta-daucosterol"
"1594","isorhamnetin"
"1595","kaempferol"
"1596","kaempferol-3-O-beta-D-(6""-O-p-coumaroyl)-galactopyranoside"
"1597","luteolin"
"1598","oleanolic acid"
"1599","syringaresinol"
"1600","sy-ringaresinol-4,4'-O-bis-beta-D-glucoside"
"1601","syringaresinol4-O-beta-D-monoglucoside"
"1602","takakin-8-O-beta-D-glucopyranoside"
"1603","tilianin"
"1604","tilianin"
"1605","Dracotanoside A"
"1606","Dracotanoside B"
"1607","Dracotanoside C"
"1608","Dracotanoside D"
"1609","Drimiopsin A"
"1610","Drimiopsin B"
"1611","Drimiopsin C"
"1612","Drimiopsin D"
"1613","Drimiopsin E"
"1614","Drimiopsin F"
"1615","drimiopsins A"
"1616","drimiopsins B"
"1617","drimiopsins C"
"1618","drimiopsins D"
"1619","drimiopsins E"
"1620","drimiopsins F"
"1621","3,3'-dimethoxy ellagic acid"
"1622","droserone"
"1623","droserone-5-O-glucoside"
"1624","ellagic acid"
"1625","epi-isoshinanolone"
"1626","gossypetin-8-O-glucoside"
"1627","isoshinanolone"
"1628","isoshinanolone-4-O-beta-D-glucoside"
"1629","kaempferol"
"1630","plumbagin"
"1631","quercetin"
"1632","5,7-dihydroxy-2-hydroxymethyl chromone"
"1633","beta-sitosterol"
"1634","quercetin"
"1635","quercetin-3-O-beta-D-pyranglucoside"
"1636","rutin"
"1637","alkaloids"
"1638","Ecbolin A"
"1639","alkaloids"
"1640","eleutheroside E(2)"
"1641","eleutherosides B"
"1642","eleutherosides E"
"1643","eleutherosides E(1)"
"1644","isomaltol 3-O-alpha-D-glucopyranoside"
"1645","thymidine"
"1646","5,3',4'-trihydroxy-7-O-beta-D-glucoside"
"1647","5,7,3',4-tetrahydroxyflavone"
"1648","5,7-dihydroxyflavone"
"1649","acacetin"
"1650","beta-sitosterol"
"1651","daucosterol"
"1652","oleanolic acid"
"1653","5-hydroxy-6, 7-dimethoxyflavone"
"1654","5-hydroxy-7, 8 -dimethoxyflavone"
"1655","luteolin"
"1656","luteolin-5-O-beta-D-glucopyranoside"
"1657","luteolin-7-O-beta-D-glucopyranoside"
"1658","2,5-dihydroxy-3-methyl-1,4-benzoquinone"
"1659","3beta, 11alpha, 16alpha, 28-tetrahydroxy-12-oleanene"
"1660","3beta, 28alpha-dihydroxy-16-oxo-13beta, 28-oxydooleanane"
"1661","3beta, 28-di-O-acetyl-16alpha-hydroxy-12-oleanene"
"1662","3beta,16alpha-di-O-acetyl-13beta, 28-epoxyoleanane"
"1663","3beta-acetyl-11alpha, 28-dihydroxy-16-oxo-12-oleanene"
"1664","3beta-acetyl-16alpha, 28alpha-dihydroxy-13beta, 28-oxydooleanane"
"1665","3beta-acetyl-16alpha-hydroxy-13beta, 28-epoxyoleanane"
"1666","3beta-acetyl-16alpha-hydroxyoleanane-13beta, 28-olide"
"1667","3beta-acetyl-16-oxo-13beta, 28-epoxyoleanane"
"1668","3beta-acetyl-28-hydroxy-16-oxo-12-oleanene"
"1669","aegicerin"
"1670","embelinone"
"1671","protoprimulagenin A"
"1672","schimperinone"
"1673","stigmasterol"
"1674","taraxerol"
"1675","taraxerone"
"1676","caohuoside-B"
"1677","5,7-dihydroxy-3',4'-dimethoxyflavone"
"1678","5-hydroxy-7,4'-dimethoxyflavone"
"1679","acacetin"
"1680","apigenin"
"1681","chrysoeriol"
"1682","flavogadorinin"
"1683","pedalitin"
"1684","5-deoxyantirrhinoside"
"1685","8-epiloganic acid"
"1686","apigenin 7-(6""-p-coumaroyl) glucoside"
"1687","beta-sitosterol"
"1688","cimigoside"
"1689","marrubiin"
"1690","ursolic acid"
"1691","11-oxo-alpha-amyrin acetate"
"1692","19-epi-heyneanine"
"1693","19-heyneanine"
"1694","3-(2-oxopropyl) coronaridine"
"1695","3-hydroxyl coronaridine"
"1696","5alpha, 8alpha-epidioxyergosta-6, 22-dien-3beta-ol"
"1697","alpha-amyrin"
"1698","alpha-amyrin acetate"
"1699","alpha-amyrin acetate"
"1700","beta-daucosterol"
"1701","beta-sitosterol"
"1702","coronaridine"
"1703","coronaridine hydroxyindolenine"
"1704","cycloart-23-ene-3beta, 25-diol"
"1705","cycloart-25-ene-3beta, 24-diol"
"1706","ibogaine"
"1707","ibogamin-3-one"
"1708","ibogamine"
"1709","voacangine"
"1710","vobasine"
"1711","3-O-methylcalopocarpin"
"1712","7-O-methylluteone"
"1713","8-prenylluteone"
"1714","burttinonedehydrate"
"1715","genistein"
"1716","burttinone"
"1717","erycaffra D"
"1718","erycaffra E"
"1719","erycaffra F"
"1720","erysubin B"
"1721","erythrinin C"
"1722","isosenegalensein"
"1723","eriotrichin B"
"1724","erybraedin A"
"1725","erybraedin C"
"1726","erybraedin D"
"1727","erybraedin E"
"1728","isonorautenol"
"1729","3,7,4'-trihydroxyflavone"
"1730","demethylmedicarpin"
"1731","erypoegin I"
"1732","erythrabissin I"
"1733","erythribyssin A"
"1734","eryvarin D"
"1735","Fuscacarpan A"
"1736","Fuscacarpan B"
"1737","Fuscacarpan C"
"1738","genistein"
"1739","hydroxycristacarpone"
"1740","isoliquiritigenin"
"1741","liquiritigenin"
"1742","orientanol A"
"1743","sandwicensin"
"1744","scandenone"
"1745","vestitone"
"1746","8-prenyl erythrinin C"
"1747","8-prenyldaidzein"
"1748","alpinumisoflavone"
"1749","daidzein"
"1750","dimethylalpinumisoflavone"
"1751","erysenegalensein E"
"1752","erythrinassinate B"
"1753","genistein"
"1754","indicanine A"
"1755","indicanine B"
"1756","indicanine C"
"1757","indicanine D"
"1758","indicanine E"
"1759","wighteone"
"1760","erylatissin A"
"1761","erylatissin B"
"1762","erylatissin C"
"1763","abyssinone V-4'-methylethe"
"1764","alpinumisoflavone"
"1765","burttinone"
"1766","isoerysenegalensein E"
"1767","isosenegalensin"
"1768","lysisteisoflavanone"
"1769","wighteone"
"1770","3'-formyl-5,4'-dihydroxy-7-methoxyisoflavone"
"1771","3'-isoprenylgenistein"
"1772","5,2',4'-trihydroxy-7-methoxy-5'-(3-methylbuten-2-yl)isoflavone"
"1773","5,4'-dihydroxy-7-methoxy-3'-(3-methyl-2-hydroxybuten-3-yl)isoflavone"
"1774","5,4'-dihydroxy-7-methoxy-3'-(3-methylbuten-2-yl)isoflavone"
"1775","5-hydroxy-3''-hydroxy-2'',2''-dimethyldihydropyrano[5'',6'':3',4']isoflavone"
"1776","alpinumisoflavone"
"1777","crystacarpin"
"1778","erypoegin D"
"1779","isolupabigenin"
"1780","wighteone"
"1781","erysubin C"
"1782","erysubin D"
"1783","erysubin E"
"1784","erysubin F"
