INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,INCHIKEY,SMILES,INCHI_STRING,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,QC_LEVEL,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,TOXVAL_DATA,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MS_READY_SMILES,QSAR_READY_SMILES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT,IRIS_LINK,PPRTV_LINK,WIKIPEDIA_ARTICLE,QC_NOTES,ACTOR_REPORT,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
KZNIFHPLKGYRTM-UHFFFAOYSA-N,InChIKey,DTXSID6022391,Apigenin,KZNIFHPLKGYRTM-UHFFFAOYSA-N,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",C15H10O5,270.0528234,DSSTox_Low,5.27E-07,Y,-,-,37.21,176/473,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,1470,312,-,-,-,Y,-,Y,17.0608,440.286,0.000011995,1.539,0.798,2.73527E-06,229.35,273.196,0.196,0.00696626,-,-,3.40408E-05,40.4576,3.11889E-09,0.000615177,1.62691E-11,41.2937,19.3218,396.251,1.04365E-10,0.285945,9.24586,546.621,3.0195,347,1.32659E-09,0.000171705
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IYRMWMYZSQPJKC-UHFFFAOYSA-N,InChIKey,DTXSID7020768,Kaempferol,IYRMWMYZSQPJKC-UHFFFAOYSA-N,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",C15H10O6,286.047738,DSSTox_High,-,Y,-,Y,21.38,96/449,OC1=CC=C(C=C1)C1OC2=C(C(O)=CC(O)=C2)C(=O)C1=O,OC1=CC=C(C=C1)C1OC2=C(C(O)=CC(O)=C2)C(=O)C1=O,937,230,1,-,-,Y,-,Y,8.03526,472.895,1.26474E-05,1.661,0.757,4.47713E-06,244.478,282.221,0.624,0.00704693,-,-,3.68129E-05,44.2588,2.83139E-10,0.000714496,1.38497E-11,20.3412,19.3278,397.711,8.94663E-11,0.284149,9.26089,307.188,2.15774,277.009,3.09687E-10,0.000708386
IPCSVZSSVZVIGE-UHFFFAOYSA-N,InChIKey,DTXSID2021602,Hexadecanoic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",C16H32O2,256.2402303,DSSTox_Low,1.55E-05,Y,-,Y,2.09,9/431,CCCCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCCCC(O)=O,5306,495,931,-,Y,Y,-,Y,23.9332,360.169,1.25603E-05,0.9,0.434,2.1677E-06,163.619,58.773,-0.091,0.042462,29.845,154.705,3.47536E-06,21.5278,2.41546E-07,3.58096E-06,1.30485E-11,156.367,8.62236,351.504,4.37601E-09,0.899352,9.9137,1781.65,7.17036,61.6797,3.79491E-07,1.56327E-07
XKNUGGWMUJBFJT-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WBYWAXJHAXSJNI-VOTSOKGWSA-N,InChIKey,DTXSID5022489,E-Cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,OC(=O)\C=C\C1=CC=CC=C1,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+",C9H8O2,148.0524295,DSSTox_High,1.77E-05,Y,-,Y,2.32,10/431,OC(=O)C=CC1=CC=CC=C1,OC(=O)C=CC1=CC=CC=C1,691,218,1,-,-,Y,-,Y,3.26588,280.363,0.00020893,1.162,0.591,3.37287E-05,160.012,113.257,0.164,0.0154882,39.224,-,0.000881049,5.01187,0.000899498,0.00914113,4.31323E-11,3.98286,4.08189,299.939,3.07943E-08,0.129913,7.63194,61.1917,2.12823,132.759,2.10624E-05,0.00364069
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.3861662,DSSTox_Low,7.23E-07,Y,-,Y,0.0,0/82,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2175,162,-,-,-,Y,-,Y,785.236,408.379,9.18333E-07,0.899,0.963,1.40281E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06196E-08,1.38676E-07,3.10916E-11,729.105,256.191,390.842,4.77227E-08,13.739,10.3464,58813.2,9.22714,143.458,1.88174E-08,2.91967E-06
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.3861662,DSSTox_Low,7.23E-07,Y,-,Y,0.0,0/82,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2175,162,-,-,-,Y,-,Y,785.236,408.379,9.18333E-07,0.899,0.963,1.40281E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06196E-08,1.38676E-07,3.10916E-11,729.105,256.191,390.842,4.77227E-08,13.739,10.3464,58813.2,9.22714,143.458,1.88174E-08,2.91967E-06
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.3861662,DSSTox_Low,7.23E-07,Y,-,Y,0.0,0/82,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2175,162,-,-,-,Y,-,Y,785.236,408.379,9.18333E-07,0.899,0.963,1.40281E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06196E-08,1.38676E-07,3.10916E-11,729.105,256.191,390.842,4.77227E-08,13.739,10.3464,58813.2,9.22714,143.458,1.88174E-08,2.91967E-06
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MMXKVMNBHPAILY-UHFFFAOYSA-N,InChIKey,DTXSID4047044,Ethyl dodecanoate,MMXKVMNBHPAILY-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OCC,"InChI=1S/C14H28O2/c1-3-5-6-7-8-9-10-11-12-13-14(15)16-4-2/h3-13H2,1-2H3",C14H28O2,228.2089301,DSSTox_Low,5.84E-05,Y,-,Y,0.75,3/400,CCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCC(=O)OCC,8,105,-,-,-,-,-,Y,62.6614,274.004,8.91251E-06,0.86,0.323,2.32274E-06,112.008,-10.435,0.086,0.0345144,27.585,145.23,1.34276E-05,3.27341,0.00289068,0.00012942,1.3176E-11,1466.1,5.48051,273.08,8.39649E-06,0.642035,7.24853,3313.89,5.71033,-10.4905,0.00183928,8.55054E-06
MVLVMROFTAUDAG-UHFFFAOYSA-N,InChIKey,DTXSID5059406,Ethyl stearate,MVLVMROFTAUDAG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",C20H40O2,312.3028305,Public_High,7.77E-06,Y,-,Y,-,-,CCCCCCCCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCCCCCCCC(=O)OCC,19,109,-,-,-,-,SRS/ChemID matched; SRS trust index 3,Y,58.0764,348.686,3.25837E-06,0.828,0.358,9.01571E-07,160.251,17.271,0.081,0.0605341,29.445,152.029,4.9204E-07,7.62079,2.50611E-06,2.37684E-06,1.53292E-11,362.094,5.7017,367.846,2.72394E-07,0.937714,8.91474,5913.97,8.4084,32.1565,2.62241E-06,8.78537E-06
KSEBMYQBYZTDHS-HWKANZROSA-N,InChIKey,DTXSID70892035,(2E)-3-(4-Hydroxy-3-methoxyphenyl)-2-propenoic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",C10H10O4,194.0579088,DSSTox_High,3.91E-07,Y,-,Y,-,-,COC1=C(O)C=CC(C=CC(O)=O)=C1,COC1=C(O)C=CC(C=CC(O)=O)=C1,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.78993E-11,3.95612,3.53757,279.038,1.42302E-09,0.121901,8.06651,155.043,1.50942,186.691,2.84634E-07,0.00390784
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,OC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",C7H6O5,170.0215233,DSSTox_Low,2.66E-07,Y,-,Y,19.57,46/235,OC(=O)C1=CC(O)=C(O)C(O)=C1,OC(=O)C1=CC(O)=C(O)C(O)=C1,3082,237,9,-,-,Y,-,Y,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54097E-07,0.0756833,3.67045E-12,4.82766,11.4824,304.082,4.22937E-11,0.10897,8.18129,58.9846,0.69942,186.569,3.4417E-09,0.069363
LEXBBZCFWJNTGC-OYLFHFCFSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FVYXIJYOAGAUQK-UHFFFAOYSA-N,InChIKey,DTXSID30188845,Honokiol,FVYXIJYOAGAUQK-UHFFFAOYSA-N,OC1=C(CC=C)C=C(C=C1)C1=C(O)C=CC(CC=C)=C1,"InChI=1S/C18H18O2/c1-3-5-13-7-9-18(20)16(11-13)14-8-10-17(19)15(12-14)6-4-2/h3-4,7-12,19-20H,1-2,5-6H2",C18H18O2,266.1306798,Public_Medium,-,-,-,-,-,-,OC1=C(CC=C)C=C(C=C1)C1=C(O)C=CC(CC=C)=C1,OC1=C(CC=C)C=C(C=C1)C1=C(O)C=CC(CC=C)=C1,420,168,-,-,-,Y,Loaded based on no conflicts with this data in chemid and pubchem,Y,46.7735,372.606,1.38995E-06,1.131,0.841,2.74157E-07,196.702,105.041,0.505,0.00104232,42.499,147.945,3.01995E-06,-,1.93197E-06,0.000154525,7.18711E-11,447.844,6.38335,394.284,4.80601E-07,0.845795,9.20699,15296.2,4.27439,170.638,2.41055E-10,0.000281961
VVOAZFWZEDHOOU-UHFFFAOYSA-N,InChIKey,DTXSID0044076,Magnolol,VVOAZFWZEDHOOU-UHFFFAOYSA-N,OC1=CC=C(CC=C)C=C1C1=C(O)C=CC(CC=C)=C1,"InChI=1S/C18H18O2/c1-3-5-13-7-9-17(19)15(11-13)16-12-14(6-4-2)8-10-18(16)20/h3-4,7-12,19-20H,1-2,5-6H2",C18H18O2,266.1306798,DSSTox_Low,-,-,-,Y,-,-,OC1=CC=C(CC=C)C=C1C1=C(O)C=CC(CC=C)=C1,OC1=CC=C(CC=C)C=C1C1=C(O)C=CC(CC=C)=C1,344,160,-,-,-,Y,-,Y,73.7904,377.389,1.24451E-06,1.128,0.703,2.79898E-07,195.666,108.315,0.447,0.000342768,42.302,147.609,1.96789E-06,-,2.87078E-06,0.000152757,7.15777E-11,454.401,6.40101,393.649,8.80546E-07,0.802086,9.20699,13098.1,4.14454,170.434,2.45301E-10,0.000268408
SCOBOZBTFMWPOO-AAHFWSMJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MIJYXULNPSFWEK-GTOFXWBISA-N,InChIKey,DTXSID50858790,Oleanolic acid,MIJYXULNPSFWEK-GTOFXWBISA-N,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",C30H48O3,456.3603454,DSSTox_Low,-,Y,-,Y,-,-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,2735,123,1,-,-,Y,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.55799E-11,66.2463,335.185,372.47,1.99086E-08,4.27653,9.57699,73595.7,6.31537,280.161,9.27061E-09,3.47822E-05
MBRLOUHOWLUMFF-UHFFFAOYSA-N,InChIKey,DTXSID20197507,7-Methoxy-8-(3-methyl-2-butenyl)-coumarin,MBRLOUHOWLUMFF-UHFFFAOYSA-N,COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1,"InChI=1S/C15H16O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-6,8-9H,7H2,1-3H3",C15H16O3,244.1099444,DSSTox_Low,-,-,-,Y,-,-,COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1,COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1,207,196,-,-,-,Y,-,Y,-,343.118,3.63915E-05,1.161,0.753,5.29663E-06,178.584,116.659,0.543,0.00403645,-,-,2.39883E-05,11.9124,6.35331E-06,0.000135519,1.34084E-10,311.824,3.54286,342.102,2.29912E-08,0.424367,8.9446,6727.26,3.53355,83.5841,5.14716E-05,4.88486E-05
UILPJVPSNHJFIK-UHFFFAOYSA-N,InChIKey,DTXSID1022059,2'-Hydroxy-4'-methoxyacetophenone,UILPJVPSNHJFIK-UHFFFAOYSA-N,COC1=CC=C(C(C)=O)C(O)=C1,"InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3",C9H10O3,166.0629942,DSSTox_Low,5.04E-06,Y,-,Y,-,-,COC1=CC=C(C(C)=O)C(O)=C1,COC1=CC=C(C(C)=O)C(O)=C1,239,190,-,-,-,Y,-,Y,4.21697,274.249,0.000120226,1.172,0.453,0.000278612,121.938,77.915,0.292,0.00270396,40.778,148.473,0.000552077,11.995,0.00189234,0.0137721,1.20424E-11,6.86185,3.51463,259.798,9.85725E-09,0.114986,7.71469,117.893,1.97894,52.3686,0.00154466,0.0055887
RGHHSNMVTDWUBI-UHFFFAOYSA-N,InChIKey,DTXSID8059552,p-Hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,OC1=CC=C(C=O)C=C1,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",C7H6O2,122.0367794,Public_High,3.75E-06,Y,-,Y,-,-,OC1=CC=C(C=O)C=C1,OC1=CC=C(C=O)C=C1,117,239,-,-,-,Y,SRS/ChemID matched; SRS trust index 3,Y,-,233.799,5.01187E-05,1.238,0.205,0.000130317,106.175,79.79,0.115,0.00944061,42.42,158.109,0.00115345,5.47016,0.0150661,0.0190546,2.79486E-11,5.61183,4.09602,307.295,5.12421E-10,0.250929,6.27732,46.2846,1.34761,116.757,0.000113574,0.0931177
FJKROLUGYXJWQN-UHFFFAOYSA-N,InChIKey,DTXSID3026647,4-Hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,OC(=O)C1=CC=C(O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",C7H6O3,138.0316941,DSSTox_Low,6.83E-06,Y,-,Y,2.54,11/433,OC(=O)C1=CC=C(O)C=C1,OC(=O)C1=CC=C(O)C=C1,481,252,4,-,-,Y,-,Y,1.53815,274.894,0.000403645,1.414,0.324,0.000669885,169.592,170.769,0.275,0.0124165,-,-,0.00610942,-,7.44732E-05,0.0483059,3.65046E-12,4.83889,4.09342,257.832,4.55185E-10,0.100484,8.07562,27.0476,1.57746,213.826,1.9435E-07,0.0375323
JXOHGGNKMLTUBP-HSUXUTPPSA-N,InChIKey,DTXSID4032039,Shikimic acid,JXOHGGNKMLTUBP-HSUXUTPPSA-N,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,"InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/t4-,5-,6-/m1/s1",C7H10O5,174.0528234,DSSTox_Low,-,-,-,Y,-,-,OC1CC(=CC(O)C1O)C(O)=O,OC1CC(=CC(O)C1O)C(O)=O,862,204,1,-,-,Y,-,Y,0.161436,358.839,0.00199067,1.575,0.489,0.00468813,228.071,168.879,0.274,0.055847,42.124,199.997,-,60.256,4.60257E-09,0.820352,2.46985E-11,6.0978,4.38147,313.126,9.43358E-11,0.110302,8.1811,117.845,-1.27746,185.987,5.67248E-08,0.860545
HCXVJBMSMIARIN-PHZDYDNGSA-N,InChIKey,DTXSID801015733,Stigmasterol,HCXVJBMSMIARIN-PHZDYDNGSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@@H](CC)C(C)C,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/b9-8+/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H48O,412.3705162,Public_Medium,-,-,-,Y,-,-,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,-,-,1,-,-,Y,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.63258E-11,526.73,254.962,389.349,4.39504E-08,13.7253,10.3509,96996.8,8.9126,147.418,1.87852E-08,3.03135E-06
KOWMJRJXZMEZLD-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZWNRVNQMXFTSX-YRXWBPOGSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZWNRVNQMXFTSX-AKHDSKFASA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PQWZXENVZQJUKV-UWBLVGDVSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POQQNJBRHJXAIN-KFLQCAKHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FVCQLZMKPAVSPH-XWQGWOARSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.3861662,DSSTox_Low,7.23E-07,Y,-,Y,0.0,0/82,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2175,162,-,-,-,Y,-,Y,785.236,408.379,9.18333E-07,0.899,0.963,1.40281E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06196E-08,1.38676E-07,3.10916E-11,729.105,256.191,390.842,4.77227E-08,13.739,10.3464,58813.2,9.22714,143.458,1.88174E-08,2.91967E-06
FVWJYYTZTCVBKE-ROUWMTJPSA-N,InChIKey,DTXSID101019934,Betulin,FVWJYYTZTCVBKE-ROUWMTJPSA-N,[H][C@]12[C@@H](CC[C@]1(CO)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C,"InChI=1S/C30H50O2/c1-19(2)20-10-15-30(18-31)17-16-28(6)21(25(20)30)8-9-23-27(5)13-12-24(32)26(3,4)22(27)11-14-29(23,28)7/h20-25,31-32H,1,8-18H2,2-7H3/t20-,21+,22-,23+,24-,25+,27-,28+,29+,30+/m0/s1",C30H50O2,442.3810809,DSSTox_Low,-,-,-,-,-,-,CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12,CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.04944E-11,548.965,335.294,379.67,3.42403E-08,11.8146,9.5593,72430.8,7.15007,249.951,2.77222E-08,0.000003058
QGJZLNKBHJESQX-FZFNOLFKSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
